StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q5,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q6,Q7
2025-05-05 14:58:24,2025-05-05 15:30:19,IP Address,155.98.131.6,100,1915,True,2025-05-05 15:30:20,R_15TqpgPnm5aajYa,,,,,40.761,-111.8611,qr,EN,3.37,82.386,91.427,12,,Graduate student,,,,,,Mechanical Engineering,Not familiar at all,8.198,109.264,109.948,9,Slightly interested,
2025-05-05 14:58:23,2025-05-05 15:36:36,IP Address,155.98.131.0,100,2292,True,2025-05-05 15:36:36,R_7P1TTGF3VLOcmrS,,,,,40.761,-111.8611,qr,EN,1.467,5.828,6.293,4,,Graduate student,,,,,,"Microbiology and immunology ",Moderately familiar,0.761,7.549,8.21,3,Extremely interested,
2025-05-07 10:23:39,2025-05-07 10:24:37,IP Address,98.202.62.239,100,57,True,2025-05-07 10:24:38,R_3aeOq9TlyDwNreC,,,,,40.7742,-111.8721,qr,EN,1.479,5.445,5.801,5,,Graduate student,,,,,,"Department of Human Genetics ",Not familiar at all,0.778,25.189,26.101,11,Moderately interested,
2025-05-09 16:48:51,2025-05-09 17:05:09,IP Address,73.76.10.50,100,978,True,2025-05-09 17:05:10,R_1dj9B3vaDrPE65X,,,,,29.4152,-98.4192,anonymous,EN,365.581,449.595,450.024,3,,Graduate student,,,,,,Geology & Geophysics,Slightly familiar,2.232,8.768,9.366,6,Moderately interested,
2025-05-09 23:21:22,2025-05-09 23:27:43,IP Address,216.21.162.147,100,381,True,2025-05-09 23:27:44,R_3mx7MwNMSgHlzep,,,,,40.761,-111.8611,anonymous,EN,0,0,42.476,0,,Graduate student,,,,,,Department of Electrical and Computer Engineering,Slightly familiar,50.542,50.542,54.29,1,Slightly interested,"I don't feel I am very familiar with Research Development careers. The only careers I can think of in this area are agency program officers, vice president for research office, and perhaps the technology transfer office (it's not clear to me if that would be considered in the realm of research development or not). "
2025-05-11 13:20:08,2025-05-11 13:21:01,IP Address,69.169.162.39,100,53,True,2025-05-11 13:21:02,R_6g1VOUVTxQuVRhz,,,,,40.7143,-111.8894,anonymous,EN,0,0,7.25,0,,Graduate student,,,,,,Mechanical Engineering,Not familiar at all,22.357,22.357,26.069,1,Slightly interested,
2025-05-12 09:39:51,2025-05-12 09:43:28,IP Address,172.59.152.160,100,216,True,2025-05-12 09:43:28,R_6uEA0GNT6ZgDEz2,,,,,40.75,-111.9209,qr,EN,1.271,11.726,15.001,3,,Graduate student,,,,,,Materials Science & Engineering,Not familiar at all,4.837,71.101,72.5,23,Moderately interested,Interested enough to explore specific roles and responsibilities but not sold on making it a career path
2025-05-12 09:45:56,2025-05-12 09:47:01,IP Address,155.98.25.24,100,64,True,2025-05-12 09:47:02,R_6G5HigLfGQDf2p3,,,,,40.761,-111.8611,anonymous,EN,4.935,5.349,6.447,2,,Graduate student,,,,,,Electrical and Computer Engineering,Moderately familiar,8.59,8.59,23.818,1,Very interested,
2025-05-12 13:55:16,2025-05-12 13:57:05,IP Address,136.36.124.30,100,108,True,2025-05-12 13:57:05,R_7qPU7R4MuNAioWH,,,,,40.699,-111.841,anonymous,EN,0,0,15.152,0,,Graduate student,,,,,,Geology & Geophysics,Slightly familiar,29.677,29.677,31.129,1,Moderately interested,
2025-05-12 14:19:41,2025-05-12 14:23:03,IP Address,155.98.131.3,100,202,True,2025-05-12 14:23:05,R_1eLQZagOpr9qEeR,,,,,40.761,-111.8611,anonymous,EN,140.248,140.248,140.71,1,,Graduate student,,,,,,School of Biological Science,Not familiar at all,26.508,26.508,27.932,1,Moderately interested,
2025-05-12 14:17:44,2025-05-12 14:24:53,IP Address,155.98.131.2,100,429,True,2025-05-12 14:24:54,R_3kGio8mRMopGFDA,,,,,40.761,-111.8611,anonymous,EN,4.081,5.482,9.787,2,,Graduate student,,,,,,"School of Biological Sciences
",Very familiar,11.5,14.072,16.792,2,Not interested at all,"As a senior PhD candidate and someone who has been involved in academia for a long time, there is too much administrative bloat including research development. I will run my own lab at an R1 institution in the future. My experience with the Research Development people has largely been negative.  They slow down grant applications and do not understand what funding agencies (NSF) are looking for. They do not understand the pacing that is required to submit competitive proposals. While they may be helpful for some groups, they have only caused problems when I have worked with them. Communicating science and using relevant advances in business to help and inform taxpayers that ultimately pay for the research is incredibly important but research development does not need to reach into all components of research. Not all important research is directly important for capitalistic purposes."
2025-05-05 14:58:23,2025-05-05 14:58:49,IP Address,155.98.132.3,38,25,False,2025-05-12 14:58:50,R_7pKaL6kdZs8rPW8,,,,,40.7143,-111.8894,qr,EN,2.709,8.996,11.531,3,,,,,,,,,,,,,,,
2025-05-05 14:58:28,2025-05-05 14:58:54,IP Address,155.98.131.0,38,25,False,2025-05-12 14:58:58,R_7mCNjuipUD3cx0m,,,,,40.761,-111.8611,qr,EN,2.635,6.857,8.671,6,,,,,Staff,,,,,,,,,,
2025-05-05 14:58:25,2025-05-05 14:59:12,IP Address,155.98.131.4,50,47,False,2025-05-12 14:59:15,R_6gU3dp3gcp5bpRW,,,,,40.761,-111.8611,qr,EN,5.375,14.641,15.546,2,,,,,Staff,,,Wilkes Center for Climate Science and Policy,,,,,,,
2025-05-05 14:58:25,2025-05-05 14:59:19,IP Address,172.59.154.24,50,54,False,2025-05-12 14:59:25,R_6dF85ZF4uQAnyBl,,,,,40.75,-111.9209,qr,EN,5.133,5.133,10.918,1,,,,,,,Undergraduate student,"Department of Communication 
College of Science Marketing and Communications Team",,,,,,,
2025-05-05 14:58:59,2025-05-05 14:59:38,IP Address,155.98.132.0,25,39,False,2025-05-12 14:59:41,R_5R2PixQnih9eu51,,,,,40.7143,-111.8894,qr,EN,0.891,37.393,38.492,12,,,,,,,,,,,,,,,
2025-05-06 00:33:18,2025-05-06 00:33:28,IP Address,69.162.230.206,25,9,False,2025-05-13 00:33:29,R_5i3Du5G97RCAleU,,,,,40.5153,-112.0316,qr,EN,6.042,6.042,9.515,1,,,,,,,,,,,,,,,
2025-05-13 06:23:12,2025-05-13 06:26:21,IP Address,172.225.199.1,100,188,True,2025-05-13 06:26:21,R_3RdMKGSmcL7MNHD,,,,,33.4532,-112.0748,anonymous,EN,2.053,19.256,37.573,6,,Graduate student,,,,,,"School of Biological Sciences ",Slightly familiar,11.532,79.946,84.144,7,Very interested,
2025-05-13 07:33:43,2025-05-13 07:35:02,IP Address,107.122.173.78,100,78,True,2025-05-13 07:35:02,R_3yjYBIfDLdZJY8y,,,,,29.4963,-98.4004,anonymous,EN,1.326,3.329,6.5,2,,Graduate student,,,,,,Biology (EEOB),Slightly familiar,1.109,37.955,38.56,14,Slightly interested,
2025-05-13 13:31:11,2025-05-13 13:33:18,IP Address,76.149.145.99,100,126,True,2025-05-13 13:33:19,R_5peV6IhXj1FSJj6,,,,,40.7334,-111.8628,anonymous,EN,0,0,6.086,0,,Graduate student,,,,,,School of Biological Sciences - EEOB,Slightly familiar,32.873,32.873,34.6,1,Moderately interested,
2025-05-13 13:32:49,2025-05-13 13:33:23,IP Address,174.218.177.1,100,33,True,2025-05-13 13:33:24,R_5fdUWQKKfuXxFl3,,,,,40.6596,-111.9195,qr,EN,0.816,4.512,5.895,5,,Graduate student,,,,,,Neurobiology,Moderately familiar,1.851,10.255,10.899,5,Moderately interested,
2025-05-13 13:32:38,2025-05-13 13:33:24,IP Address,155.98.131.2,100,46,True,2025-05-13 13:33:25,R_1G2twbsyAJ8JcXg,,,,,40.761,-111.8611,qr,EN,5.505,6.071,7.034,2,,Graduate student,,,,,,Neurosurgery,Not familiar at all,1.29,19.834,20.161,9,Extremely interested,
2025-05-13 13:32:55,2025-05-13 13:34:01,IP Address,155.98.131.7,100,66,True,2025-05-13 13:34:02,R_5HY58gbFhC76Nhq,,,,,40.761,-111.8611,qr,EN,1.609,5.042,6.385,4,,Graduate student,,,,,,"Neurobiology and anatomy ",Very familiar,2.111,19.771,20.591,4,Moderately interested,
2025-05-13 13:32:57,2025-05-13 13:34:02,IP Address,155.98.131.2,100,65,True,2025-05-13 13:34:02,R_1hPY6WzTJey8hPN,,,,,40.761,-111.8611,qr,EN,0.768,11.088,11.949,5,,Graduate student,,,,,,Neurobiology department,Slightly familiar,0.988,32.817,33.428,20,Very interested,
2025-05-13 13:32:49,2025-05-13 13:34:02,IP Address,155.98.131.1,100,73,True,2025-05-13 13:34:03,R_74w3h9qGI6DPu49,,,,,40.761,-111.8611,qr,EN,0.87,5.555,35.044,8,,Graduate student,,,,,,"Neurobiology
Neurology",Slightly familiar,7.175,11.693,12.387,2,Moderately interested,
2025-05-13 13:32:46,2025-05-13 13:34:06,IP Address,155.98.131.0,100,79,True,2025-05-13 13:34:06,R_1zC6RD3DwkRqkrT,,,,,40.761,-111.8611,qr,EN,10.3,10.6,14.581,2,,Graduate student,,,,,,"Neuroscience, Psychiatry ",Not familiar at all,1.287,14.453,15.238,5,Very interested,
2025-05-13 13:32:48,2025-05-13 13:34:17,IP Address,174.247.147.68,100,89,True,2025-05-13 13:34:18,R_5IczzCbW5XUIzu0,,,,,40.6236,-111.9679,qr,EN,6.09,9.239,10.181,4,,Graduate student,,,,,,Neurobiology,Not familiar at all,0.959,10.362,11.196,5,Extremely interested,
2025-05-13 13:32:51,2025-05-13 13:34:22,IP Address,155.98.131.4,100,90,True,2025-05-13 13:34:22,R_3P7qsRo34GNR8US,,,,,40.761,-111.8611,qr,EN,2.388,9.338,9.738,5,,Graduate student,,,,,,Neurobiology,Not familiar at all,0.989,7.399,7.952,2,Moderately interested,
2025-05-13 13:33:10,2025-05-13 13:35:28,IP Address,216.224.124.112,100,137,True,2025-05-13 13:35:29,R_3PIkcIwhLU2y0pU,,,,,40.7592,-111.8875,qr,EN,0,0,7.249,0,,Graduate student,,,,,,"psychiatry, neuroscience",Not familiar at all,14.131,14.131,15.325,1,Extremely interested,"I like helping people better communicate their ideas, but currently that's limited to revising papers or reviewing presentations for friends or peers. I'm not sure how to expand that into anything resembling a career."
2025-05-13 13:32:55,2025-05-13 13:35:43,IP Address,155.98.131.6,100,167,True,2025-05-13 13:35:43,R_5r0qXR0SHm5l2HO,,,,,40.761,-111.8611,qr,EN,3.425,94.636,95.771,5,,Graduate student,,,,,,"Neuroscience PhD program in the Neurobiology Department ",Slightly familiar,0.97,24.666,25.588,11,Extremely interested,
2025-05-13 13:32:52,2025-05-13 13:36:03,IP Address,104.28.124.134,100,191,True,2025-05-13 13:36:04,R_6plIxMJSO7MBiQd,,,,,33.5629,-112.0519,qr,EN,2.97,6.987,8.001,5,,Graduate student,,,,,,"Neuroscience PhD program, Neurobiology",Slightly familiar,0.902,16.907,18.175,4,Very interested,
2025-05-13 13:32:50,2025-05-13 13:37:29,IP Address,104.28.123.141,100,279,True,2025-05-13 13:37:30,R_7qxUTK77A3BwXax,,,,,33.4532,-112.0748,qr,EN,6.102,15.502,54.01,3,,Graduate student,,,,,,Neuroscience program / Pharmacology & Toxicology dept,Moderately familiar,102.442,127.825,128.638,6,Slightly interested,"I think I see myself a little closer to the action, so to speak, more involved in the science."
2025-05-13 13:32:58,2025-05-13 13:41:29,IP Address,155.98.131.2,100,511,True,2025-05-13 13:41:29,R_5na1wbvlWIUVKvv,,,,,40.761,-111.8611,qr,EN,1.41,3.927,5.897,4,,Graduate student,,,,,,Neurobiology,Slightly familiar,1.28,87.776,88.681,11,Very interested,I am familiar with offices that assist in grant preparation. I am unsure if programs to enhance science communication exist here at the U. Sci-comm and outreach aspects are particularly interesting to me.
2025-05-13 13:32:42,2025-05-13 15:07:17,IP Address,172.56.15.8,100,5675,True,2025-05-13 15:07:18,R_5Orx2e4w8xoEvAG,,,,,40.761,-111.8611,qr,EN,3.471,12.13,84.59,2,,Graduate student,,,,,,"Neuroscience Graduate Program
Department of Psychiatry",Slightly familiar,3.635,19.185,19.761,6,Very interested,"I am an MD/PhD student, and I feel like Research Development careers are the heart of what makes impactful and translational science possible. I would love to learn more skills to engage with communities about science and medicine."
2025-05-13 15:09:09,2025-05-13 15:13:13,IP Address,108.147.29.51,100,244,True,2025-05-13 15:13:14,R_17ijb8MlG4GS28F,,,,,35.0781,-106.6583,qr,EN,212.261,212.261,213.355,1,,Graduate student,,,,,,"Neurobiology ",Slightly familiar,1.415,7.459,8.225,3,Very interested,
2025-05-13 13:32:48,2025-05-13 16:07:18,IP Address,104.28.123.137,100,9269,True,2025-05-13 16:07:18,R_6DMRdibAmz8dAmU,,,,,33.4532,-112.0748,qr,EN,2.714,13.042,80.035,3,,Graduate student,,,,,,Neurology,Slightly familiar,3.633,158.878,160.057,17,Moderately interested,
2025-05-13 22:54:19,2025-05-13 22:55:03,IP Address,136.36.158.1,100,43,True,2025-05-13 22:55:03,R_17TyV5il2zXWuaJ,,,,,40.699,-111.841,anonymous,EN,0,0,18.818,0,Career-line faculty,,,,,,,,,0,0,7.615,0,,
2025-05-14 11:34:21,2025-05-14 11:41:48,IP Address,155.98.131.1,100,447,True,2025-05-14 11:41:49,R_7gi3g0N4bb7yCqb,,,,,40.761,-111.8611,anonymous,EN,0,0,353.346,0,,Graduate student,,,,,,Department of Physics and Astronomy,Not familiar at all,21.557,21.557,23.985,1,Moderately interested,
2025-05-14 12:10:23,2025-05-14 12:20:43,IP Address,174.23.252.5,100,619,True,2025-05-14 12:20:43,R_7XjkDUCJFFcqOxf,,,,,40.6981,-111.9999,anonymous,EN,0,0,6.435,0,,Graduate student,,,,,,Physics & Astronomy,Slightly familiar,60.01,61.693,62.953,2,Very interested,"I've realized that I vastly prefer the back-end work of organization and problem solving than the day-to-day work of an academic, it seems somewhat interesting but also potentially severely hindered by University priorities being so egregiously misaligned with the needs of faculty and students. "
2025-05-15 07:58:38,2025-05-15 07:59:57,IP Address,155.98.131.2,100,78,True,2025-05-15 07:59:58,R_5js7L3xKQNXdXLr,,,,,40.761,-111.8611,anonymous,EN,4.944,4.944,15.721,1,,Graduate student,,,,,,Chemical Engineering,Slightly familiar,22.137,22.137,22.916,1,Slightly interested,
2025-05-15 16:01:34,2025-05-15 16:04:57,IP Address,98.185.236.199,100,202,True,2025-05-15 16:04:57,R_7Bahv0Zp9tPfSP0,,,,,34.4216,-119.7068,anonymous,EN,0,0,11.264,0,,Graduate student,,,,,,Division fo Public Affairs,Slightly familiar,29.827,29.827,34.763,1,Extremely interested,"I'm a professional writer transitioning to policy with an MPP. In the course of the degree, I've found my skill set transfers very well to communicating complex or jargon-y ideas to plain language for lay audiences, and in persuasive/advocacy writing. This might be a good space for those skills."
2025-05-15 16:22:29,2025-05-15 16:25:34,IP Address,31.222.254.187,100,185,True,2025-05-15 16:25:34,R_3WqvZhlqwCx6wRr,,,,,40.7592,-111.8875,anonymous,EN,0,0,11.761,0,,Graduate student,,,,,,"Environment, Society, and Sustainability",Not familiar at all,22.06,22.06,25.211,1,Extremely interested,"I am not familiar with Research Development as a career, but I am very interested. "
2025-05-15 16:29:02,2025-05-15 16:31:02,IP Address,155.99.232.59,100,119,True,2025-05-15 16:31:03,R_5Hk5iv5kpExRwV4,,,,,40.7742,-111.8721,anonymous,EN,0,0,10.036,0,,Graduate student,,,,,,Pathology,Not familiar at all,49.861,49.861,51.948,1,Very interested,"I am not familiar with this career, but would like to learn more. I am particularly interested in the kind of scheduling flexibility it may offer."
2025-05-15 17:01:04,2025-05-15 17:04:20,IP Address,155.98.131.0,100,196,True,2025-05-15 17:04:21,R_1tultc4DY5h6YQJ,,,,,40.761,-111.8611,anonymous,EN,0,0,11.223,0,,Graduate student,,,,,,Physics & Astronomy,Not familiar at all,23.906,23.906,25.8,1,Moderately interested,"I am not very familiar at all with Research Development careers. What you described sounded to me like a part of any tenure-line research professor's job, so it did not ever occur to me that it is a field with its own full-time employees. I am interested in such a career primarily because the field sound engaging and is focused on building and maintaining cross-disciplinary relationships. I enjoy engaging in cross-disciplinary activity, especially between arts and science. If a career existed in such a world, I would enjoy looking at my options within the field of Research Development."
2025-05-15 17:13:08,2025-05-15 17:14:32,IP Address,155.98.131.3,100,83,True,2025-05-15 17:14:33,R_1nVhMwz4t4nefEs,,,,,40.761,-111.8611,anonymous,EN,0,0,18.417,0,,Graduate student,,,,,,Chemistry,Moderately familiar,29.648,29.648,31.295,1,Moderately interested,
2025-05-15 17:39:13,2025-05-15 17:41:26,IP Address,136.36.146.68,100,132,True,2025-05-15 17:41:27,R_3JPCB3evC0tLE6q,,,,,40.7334,-111.8628,anonymous,EN,0,0,9.301,0,,Graduate student,,,,,,"Department of Parks, Recreation, & Tourism; College of Health ",Not familiar at all,41.387,41.387,42.938,1,Moderately interested,"I would love to hear more about career pathway opportunities in research development. "
2025-05-15 22:07:23,2025-05-15 22:12:05,IP Address,71.195.212.158,100,281,True,2025-05-15 22:12:06,R_11JpmiL2RxtEWwV,,,,,40.7387,-111.8276,anonymous,EN,1.056,7.696,8.618,5,,Graduate student,,,,,,College of health,Not familiar at all,0.987,13.075,14.023,4,Extremely interested,I was very interested in participating and conducting research when deciding to attend the University of Utah and they have not given any me any opportunities to engage in research despite my efforts and the program saying that that is a possibility. I am very disappointed in my time at the university of utah
2025-05-16 06:57:32,2025-05-16 07:08:35,IP Address,172.226.36.55,100,662,True,2025-05-16 07:08:35,R_1aLwd3NbKs92I3s,,,,,33.5157,-117.7109,anonymous,EN,90.798,217.11,220.369,9,,Graduate student,,,,,,"David Eccles School of Business 
Master’s of Business Creation",Very familiar,3.432,209.867,213.312,13,Extremely interested,I am interested in supporting the research team with getting funding and advocacy.
2025-05-16 10:20:04,2025-05-16 10:21:06,IP Address,172.56.51.5,100,62,True,2025-05-16 10:21:06,R_3f7TROL7I2fAJAl,,,,,47.6109,-122.3303,anonymous,EN,0.785,4.76,5.2,5,,Graduate student,,,,,,"School of Business, Information Systems",Moderately familiar,0.552,8.446,9.031,6,Extremely interested,
2025-05-16 10:59:00,2025-05-16 11:01:49,IP Address,155.98.131.4,100,169,True,2025-05-16 11:01:50,R_3fiSzmAnIDZOGkN,,,,,40.761,-111.8611,anonymous,EN,0,0,77.109,0,,Graduate student,,,,,,Biomedical Informatics,Moderately familiar,52.108,52.108,57.775,1,Slightly interested,
2025-05-16 12:23:48,2025-05-16 12:30:24,IP Address,166.70.197.62,100,395,True,2025-05-16 12:30:24,R_72RdmI3tD0gRbKq,,,,,40.6566,-111.8907,anonymous,EN,0,0,7.461,0,,Graduate student,,,,,,Political Science,Slightly familiar,9.455,9.455,10.998,1,Moderately interested,
2025-05-16 13:33:46,2025-05-16 13:35:57,IP Address,155.101.157.103,100,130,True,2025-05-16 13:35:57,R_1PMj7boxp0XpQkB,,,,,40.7387,-111.8276,anonymous,EN,0,0,82.948,0,,Graduate student,,,,,,neurobiology,Slightly familiar,19.463,19.463,22.656,1,Very interested,Sounds interesting
2025-05-16 14:59:49,2025-05-16 15:01:10,IP Address,71.198.242.56,100,81,True,2025-05-16 15:01:11,R_3sh0Z7iwSygfO8m,,,,,37.4651,-122.143,anonymous,EN,0,0,26.096,0,,Graduate student,,,,,,Cognition & Neuroscience in Psychology PhD,Not familiar at all,23.224,23.224,24.771,1,Moderately interested,
2025-05-10 09:05:47,2025-05-10 09:06:13,IP Address,24.11.71.107,88,25,False,2025-05-17 09:06:14,R_7Ivn35Ui7o1QNdG,,,,,40.8792,-111.8686,anonymous,EN,0,0,7.365,0,,,,,,,,,,0,0,6.572,0,,
2025-05-19 12:48:21,2025-05-19 12:49:20,IP Address,155.98.131.7,100,59,True,2025-05-19 12:49:20,R_73EAohQ2zZYWmqs,,,,,40.761,-111.8611,anonymous,EN,0.861,8.086,10.201,2,,Graduate student,,,,,,SBS,Slightly familiar,6.318,13.137,13.955,4,Very interested,I am interested but not sure if these careers apply to ecologists or plant biologists
2025-05-12 13:59:18,2025-05-12 13:59:43,IP Address,75.169.250.168,38,25,False,2025-05-19 13:59:48,R_1DCRDAZdlRYQPmN,,,,,40.5582,-111.9222,anonymous,EN,0,0,9.54,0,,Graduate student,,,,,,,,,,,,,
2025-05-19 14:03:50,2025-05-19 14:05:17,IP Address,155.98.131.0,100,87,True,2025-05-19 14:05:18,R_3vfi7vgOwtTwsO1,,,,,40.761,-111.8611,anonymous,EN,0,0,14.619,0,,Graduate student,,,,,,Electrical and Computer Engineering,Moderately familiar,28.643,28.643,29.601,1,Very interested,
2025-05-12 17:39:09,2025-05-12 17:39:46,IP Address,136.36.81.91,25,36,False,2025-05-19 17:39:47,R_5IXBzzvLZL6S2Rz,,,,,40.7742,-111.8721,anonymous,EN,0,0,32.737,0,,,,,,,,,,,,,,,
2025-05-12 19:34:15,2025-05-12 19:34:36,IP Address,172.56.168.138,50,20,False,2025-05-19 19:34:38,R_7pVpxNDR8zdc6D1,,,,,38.4799,-121.4451,anonymous,EN,1.858,5.856,6.526,4,,Graduate student,,,,,,Biology,,,,,,,
2025-05-13 13:32:56,2025-05-13 13:33:10,IP Address,155.98.131.2,38,13,False,2025-05-20 13:33:11,R_68hn5gSMmyWPft7,,,,,40.761,-111.8611,qr,EN,2.471,8.28,9.301,4,,Graduate student,,,,,,,,,,,,,
